id;ad_id;match_cites_parrot;match_common_parrot;mapping_match
1;552731_us;0;1;"10;125;270;271;272;278;298;332"
2;552645_us;0;1;"10;125;270;271;272;278;298;332"
3;552633_us;0;1;"10;115;128;278;355"
4;552632_us;0;1;"8;10;105;115;165;278;355"
5;552631_us;0;1;"181;355"
6;552630_us;0;1;"10;115;278;355"
7;552629_us;0;1;"10;83;125;271;272;278;298;308"
8;552628_us;0;1;"125;271;272;298"
9;552627_us;0;1;"10;125;128;271;272;278;298;308;311"
10;552626_us;0;1;"10;278;355"
11;552625_us;0;1;"10;115;125;271;272;278;298;355"
12;552624_us;0;1;"125;271;272;298"
13;552622_us;0;1;"10;115;125;271;272;278;298"
14;552413_us;0;1;"125;128;171;174"
15;552410_us;0;1;"128;165;171;174;175;311;341"
16;552409_us;1;1;"1;10;115;125;175;270;271;272;278;298;308"
17;552340_us;0;1;"128;164"
18;552327_us;0;1;"5;70;128;134;219;311;341"
19;552151_us;0;0;
20;552146_us;0;1;"133;175;181"
21;551897_us;0;1;"10;115;150;190;210;278;341"
22;551896_us;1;1;"128;135;165;175;381;382"
23;551850_us;0;1;"128;200"
24;551840_us;0;1;"134;165;210;386;397"
25;551822_us;0;1;"128;135"
26;551672_us;0;1;"70;128;134;175;311"
27;551160_us;0;1;"10;125;271;272;278;298;308"
28;551159_us;0;1;"10;115;135;165;181;278;381"
29;551036_us;0;1;"10;125;134;135;150;165;271;272;278;298;308;329;355;381"
30;550784_us;0;1;"10;115;125;135;271;272;278;298;308;355"
31;550780_us;0;1;"10;125;181;271;272;278;298;308;336"
32;550779_us;0;1;"10;125;181;271;272;278;298;308;336"
33;550774_us;0;1;"70;256"
34;550311_us;0;1;"10;123;278;355"
35;550310_us;0;1;"10;134;135;278"
36;550308_us;0;1;"10;135;165;278;381"
37;550307_us;0;1;"10;135;278;329"
38;550287_us;0;1;"10;115;125;133;175;270;271;272;278;298;308;336"
39;550278_us;0;1;"10;115;125;133;175;270;271;272;278;298;308;336"
40;549847_us;0;1;"10;125;271;272;278;298;308"
41;549844_us;0;1;"10;125;271;272;278;298"
42;549859_us;0;1;"10;83;125;270;271;272;278;298"
43;549856_us;0;1;"8;10;105;115;125;270;271;272;278;298;308;355"
44;549854_us;0;1;"83;125;271;272;298;311"
45;549853_us;0;1;"10;125;271;272;278;298;308"
46;549852_us;0;1;"125;271;272;298"
47;549851_us;0;1;"10;115;125;133;271;272;278;298"
48;549850_us;0;1;"125;271;272;298"
49;549848_us;0;1;"10;125;271;272;278;298"
50;549795_us;0;1;355
51;549560_us;0;1;"10;125;271;272;278;298;308"
52;549558_us;0;1;"10;125;271;272;278;298;308"
53;549552_us;0;1;"10;125;271;272;278;298;308"
54;549346_us;0;1;"8;10;105;115;125;128;135;200;271;272;278;298;308;355"
55;549345_us;0;1;"8;10;105;115;125;128;135;200;271;272;278;298;308;355"
56;549344_us;0;1;"8;10;105;115;125;128;135;200;271;272;278;298;308;355"
57;549343_us;0;1;"8;10;70;125;135;181;271;272;278;298;308;355"
58;549342_us;0;1;"8;10;125;135;181;271;272;278;298;308;355"
59;549341_us;0;1;"8;10;105;115;125;135;181;271;272;278;298;308;355"
60;549340_us;0;1;"10;115;135;165;278;308;336;381"
61;549339_us;0;1;"10;115;125;271;272;278;298;308;336"
62;549338_us;0;1;"10;115;135;165;278;308;336;381"
63;549337_us;0;1;"10;115;135;278;308;336"
