id;id_re;id_map
1;1;1
2;2;1
3;3;1
4;4;1
5;5;1
6;6;1
7;7;1
8;8;1
9;9;1
10;10;1
11;11;1
12;12;1
13;13;1
14;14;1
15;15;1
16;16;1
17;1;2
18;17;2
19;18;2
20;11;2
21;19;2
22;20;2
23;3;2
24;21;2
25;22;2
26;8;2
27;23;2
28;1;3
29;24;3
30;25;3
31;3;3
32;26;3
33;27;3
34;28;3
35;29;3
36;8;3
37;30;3
38;31;3
39;32;3
40;11;3
41;33;3
42;34;3
43;35;3
44;36;3
45;37;3
46;38;3
47;39;3
48;40;3
49;41;3
50;42;3
51;43;3
52;44;3
53;45;3
54;46;3
55;47;3
56;48;3
57;49;3
58;50;3
59;51;3
60;52;3
61;53;3
62;3;4
63;54;4
64;55;4
65;56;4
66;8;4
67;57;4
68;11;4
69;58;4
70;3;5
71;59;5
72;60;5
73;61;5
74;8;5
75;10;5
76;11;5
77;62;5
78;52;5
79;63;5
80;64;5
81;65;5
82;66;5
83;3;6
84;67;6
85;68;6
86;8;6
87;69;6
88;10;6
89;11;6
90;70;6
91;71;6
92;72;6
93;73;7
94;3;7
95;74;7
96;75;7
97;8;7
98;10;7
99;11;7
100;76;7
101;3;8
102;77;8
103;78;8
104;8;8
105;79;8
106;10;8
107;80;8
108;11;8
109;81;8
110;82;8
111;3;9
112;83;9
113;84;9
114;85;9
115;8;9
116;10;9
117;11;9
118;86;9
119;65;9
120;87;9
121;1;10
122;88;10
123;3;10
124;89;10
125;90;10
126;8;10
127;10;10
128;91;10
129;11;10
130;92;10
131;65;10
132;93;10
133;14;10
134;64;10
135;94;10
136;95;11
137;96;11
138;3;11
139;97;11
140;98;11
141;59;11
142;6;11
143;99;11
144;8;11
145;10;11
146;100;11
147;101;11
148;37;12
149;102;12
150;3;12
151;103;12
152;104;12
153;105;12
154;1;13
155;106;13
156;3;13
157;107;13
158;69;13
159;108;13
160;8;13
161;109;14
162;110;14
163;3;14
164;111;14
165;112;14
166;113;14
167;8;14
168;114;14
169;10;14
170;115;14
171;3;15
172;54;15
173;116;15
174;117;15
175;8;15
176;118;15
177;10;15
178;119;15
179;120;15
180;115;15
181;1;16
182;121;16
183;3;16
184;122;16
185;123;16
186;124;16
187;125;16
188;8;16
189;10;16
190;126;16
191;105;16
192;1;17
193;127;17
194;128;17
195;129;17
196;130;17
197;131;17
198;132;17
199;133;17
200;134;17
201;135;17
202;136;17
203;137;17
204;138;17
205;139;17
206;128;18
207;140;18
208;141;18
209;135;18
210;142;18
211;143;18
212;144;18
213;15;18
214;136;18
215;145;18
216;146;18
217;147;18
218;148;18
219;1;19
220;149;19
221;128;19
222;6;19
223;150;19
224;135;19
225;151;19
226;152;19
227;1;20
228;153;20
229;128;20
230;154;20
231;155;20
232;135;20
233;136;20
234;138;20
235;156;20
236;128;21
237;157;21
238;158;21
239;6;21
240;126;21
241;135;21
242;136;21
243;159;21
244;160;21
245;161;21
246;128;22
247;162;22
248;163;22
249;135;22
250;164;22
251;165;22
252;136;22
253;166;22
254;167;22
255;168;23
256;169;23
257;170;23
258;171;23
259;172;23
260;173;23
261;134;23
262;10;23
263;117;23
264;174;23
265;168;24
266;175;24
267;176;24
268;171;24
269;177;24
270;174;24
271;1;25
272;178;25
273;168;25
274;179;25
275;170;25
276;158;25
277;6;25
278;83;25
279;117;25
280;174;25
281;168;26
282;180;26
283;181;26
284;182;26
285;171;26
286;183;26
287;184;26
288;185;26
289;186;27
290;187;27
291;10;27
292;188;27
293;189;27
294;190;27
295;191;27
296;192;27
297;193;27
298;194;27
299;195;27
300;1;28
301;196;28
302;168;28
303;197;28
304;198;28
305;171;28
306;183;28
307;199;28
308;200;29
309;201;29
310;1;29
311;202;29
312;203;29
313;171;29
314;204;29
315;205;29
316;206;29
317;207;29
318;1;30
319;208;30
320;168;30
321;209;30
322;210;30
323;211;30
324;10;30
325;206;30
326;212;30
327;213;31
328;214;31
329;200;31
330;54;31
331;215;31
332;10;31
333;204;31
334;216;31
335;206;31
336;217;31
337;168;32
338;218;32
339;219;32
340;115;32
341;168;33
342;220;33
343;221;33
344;222;33
345;115;33
346;223;34
347;224;34
348;225;34
349;10;34
350;226;34
351;227;34
352;228;34
353;229;34
354;230;34
355;231;34
356;232;35
357;233;35
358;128;35
359;234;35
360;235;35
361;135;35
362;236;35
363;136;35
364;237;35
365;238;35
366;128;36
367;239;36
368;240;36
369;232;36
370;241;36
371;135;36
372;242;36
373;136;36
374;243;36
375;244;36
376;245;36
377;246;36
378;247;36
379;248;36
380;168;37
381;249;37
382;250;37
383;10;37
384;168;38
385;251;38
386;252;38
387;253;38
388;115;38
389;168;39
390;254;39
391;255;39
392;115;39
393;1;40
394;256;40
395;168;40
396;257;40
397;258;40
398;259;40
399;260;40
400;261;40
401;132;40
402;262;40
403;171;40
