id;reg
1;(p+|P+){1}(s+|S+|5+){1}(i+|I+|1+){1}(t+|T+|7+){1}(t+|T+|7+){1}(à+|á+|a+|A+|4+){1}(c+|C+|ç+){1}(u+|U+){1}(s+|S+|5+){1}
2;(à+|á+|a+|A+|4+){1}(r+|R+){1}(à+|á+|a+|A+|4+){1}(u+|U+){1}(s+|S+|5+){1}(i+|I+|1+){1}(à+|á+|a+|A+|4+){1}(c+|C+|ç+){1}(u+|U+){1}(s+|S+|5+){1}
3;(à+|á+|a+|A+|4+){1}(m+|M+){1}(à+|á+|a+|A+|4+){1}(z+|Z+){1}(o+|O+|0+){1}(n+|N+){1}(è+|é+|e+|E+|3+){1}
4;(b+|B+){1}(o+|O+|0+){1}(u+|U+){1}(q+|Q+){1}(u+|U+){1}(è+|é+|e+|E+|3+){1}(t+|T+|7+){1}
5;(c+|C+|ç+){1}(o+|O+|0+){1}(u+|U+){1}
6;(r+|R+){1}(o+|O+|0+){1}(u+|U+){1}(g+|G+){1}(è+|é+|e+|E+|3+){1}
7;(r+|R+){1}(è+|é+|e+|E+|3+){1}(d+|D+){1}(-+|\s+){1}(n+|N+){1}(è+|é+|e+|E+|3+){1}(c+|C+|ç+){1}(k+|K+){1}(è+|é+|e+|E+|3+){1}(d+|D+){1}
8;(à+|á+|a+|A+|4+){1}(m+|M+){1}(à+|á+|a+|A+|4+){1}(z+|Z+){1}(o+|O+|0+){1}(n+|N+){1}
9;(j+|J+){1}(à+|á+|a+|A+|4+){1}(c+|C+|ç+){1}(q+|Q+){1}(u+|U+){1}(o+|O+|0+){1}(t+|T+|7+){1}
10;(p+|P+){1}(à+|á+|a+|A+|4+){1}(r+|R+){1}(r+|R+){1}(o+|O+|0+){1}(t+|T+|7+){1}
11;(à+|á+|a+|A+|4+){1}(m+|M+){1}(à+|á+|a+|A+|4+){1}(z+|Z+){1}(o+|O+|0+){1}(n+|N+){1}(à+|á+|a+|A+|4+){1}
12;(g+|G+){1}(o+|O+|0+){1}(r+|R+){1}(j+|J+){1}(i+|I+|1+){1}(r+|R+){1}(r+|R+){1}(o+|O+|0+){1}(j+|J+){1}(à+|á+|a+|A+|4+){1}
13;(c+|C+|ç+){1}(à+|á+|a+|A+|4+){1}(b+|B+){1}(è+|é+|e+|E+|3+){1}(n+|N+){1}(à+|á+|a+|A+|4+){1}(z+|Z+){1}(u+|U+){1}(l+|L+){1}
14;(c+|C+|ç+){1}(à+|á+|a+|A+|4+){1}(b+|B+){1}(è+|é+|e+|E+|3+){1}(z+|Z+){1}(à+|á+|a+|A+|4+){1}
15;(à+|á+|a+|A+|4+){1}(z+|Z+){1}(u+|U+){1}(l+|L+){1}
16;(g+|G+){1}(o+|O+|0+){1}(r+|R+){1}(g+|G+){1}(i+|I+|1+){1}(r+|R+){1}(r+|R+){1}(o+|O+|0+){1}(j+|J+){1}(à+|á+|a+|A+|4+){1}(\s+){1}
17;(à+|á+|a+|A+|4+){1}(m+|M+){1}(à+|á+|a+|A+|4+){1}(z+|Z+){1}(o+|O+|0+){1}(n+|N+){1}(à+|á+|a+|A+|4+){1}\w
18;(à+|á+|a+|A+|4+){1}(u+|U+){1}(r+|R+){1}(o+|O+|0+){1}(-+|\s+){1}(p+|P+){1}(à+|á+|a+|A+|4+){1}(l+|L+){1}(l+|L+){1}(i+|I+|1+){1}(à+|á+|a+|A+|4+){1}(t+|T+|7+){1}(u+|U+){1}(s+|S+|5+){1}
19;(o+|O+|0+){1}(c+|C+|ç+){1}(h+|H+){1}(r+|R+){1}(o+|O+|0+){1}(c+|C+|ç+){1}(è+|é+|e+|E+|3+){1}(p+|P+){1}(h+|H+){1}(à+|á+|a+|A+|4+){1}(l+|L+){1}(à+|á+|a+|A+|4+){1}
20;(à+|á+|a+|A+|4+){1}(u+|U+){1}(r+|R+){1}(o+|O+|0+){1}(p+|P+){1}(à+|á+|a+|A+|4+){1}(l+|L+){1}(l+|L+){1}(i+|I+|1+){1}(à+|á+|a+|A+|4+){1}(t+|T+|7+){1}(à+|á+|a+|A+|4+){1}
21;(n+|N+){1}(u+|U+){1}(q+|Q+){1}(u+|U+){1}(è+|é+|e+|E+|3+){1}
22;(y+|Y+){1}(è+|é+|e+|E+|3+){1}(l+|L+){1}(l+|L+){1}(o+|O+|0+){1}(w+|W+){1}(-+|\s+){1}(n+|N+){1}(à+|á+|a+|A+|4+){1}(p+|P+){1}(è+|é+|e+|E+|3+){1}(d+|D+){1}
23;(n+|N+){1}(u+|U+){1}(q+|Q+){1}(u+|U+){1}(i+|I+|1+){1}(g+|G+){1}(u+|U+){1}(à+|á+|a+|A+|4+){1}(l+|L+){1}(d+|D+){1}(à+|á+|a+|A+|4+){1}(\s+){1}
24;(b+|B+){1}(à+|á+|a+|A+|4+){1}(r+|R+){1}(b+|B+){1}(à+|á+|a+|A+|4+){1}(d+|D+){1}(è+|é+|e+|E+|3+){1}(n+|N+){1}(s+|S+|5+){1}(i+|I+|1+){1}(s+|S+|5+){1}
25;(g+|G+){1}(m+|M+){1}(è+|é+|e+|E+|3+){1}(l+|L+){1}(i+|I+|1+){1}(n+|N+){1}
26;(è+|é+|e+|E+){1}(p+|P+){1}(à+|á+|a+|A+|4+){1}(u+|U+){1}(l+|L+){1}(è+|é+|e+|E+|3+){1}(t+|T+|7+){1}(t+|T+|7+){1}(è+|é+|e+|E+|3+){1}(s+|S+|5+){1}
27;(j+|J+){1}(à+|á+|a+|A+|4+){1}(u+|U+){1}(n+|N+){1}(è+|é+|e+|E+|3+){1}(s+|S+|5+){1}
28;(b+|B+){1}(à+|á+|a+|A+|4+){1}(r+|R+){1}(b+|B+){1}(à+|á+|a+|A+|4+){1}(d+|D+){1}(è+|é+|e+|E+|3+){1}
29;(y+|Y+){1}(è+|é+|e+|E+|3+){1}(l+|L+){1}(l+|L+){1}(o+|O+|0+){1}(w+|W+){1}(-+|\s+){1}(s+|S+|5+){1}(h+|H+){1}(o+|O+|0+){1}(u+|U+){1}(l+|L+){1}(d+|D+){1}(è+|é+|e+|E+|3+){1}(r+|R+){1}(è+|é+|e+|E+|3+){1}(d+|D+){1}
30;(c+|C+|ç+){1}(à+|á+|a+|A+|4+){1}(r+|R+){1}(o+|O+|0+){1}(l+|L+){1}(i+|I+|1+){1}(n+|N+){1}(è+|é+|e+|E+|3+){1}(n+|N+){1}(s+|S+|5+){1}(i+|I+|1+){1}(s+|S+|5+){1}
31;(s+|S+|5+){1}(c+|C+|ç+){1}(o+|O+|0+){1}(p+|P+){1}(o+|O+|0+){1}(l+|L+){1}(i+|I+|1+){1}
32;(o+|O+|0+){1}(c+|C+|ç+){1}(h+|H+){1}(r+|R+){1}(o+|O+|0+){1}(p+|P+){1}(t+|T+|7+){1}(è+|é+|e+|E+|3+){1}(r+|R+){1}(u+|U+){1}(s+|S+|5+){1}
33;(à+|á+|a+|A+|4+){1}(è+|é+|e+|E+|3+){1}(s+|S+|5+){1}(t+|T+|7+){1}(i+|I+|1+){1}(v+|V+){1}(à+|á+|a+|A+|4+){1}
